"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Aug 31 09:52:48 EET 2023","Thu Aug 31 09:52:50 EET 2023","2629","Google Chrome","","US_11-03-04_Education > Menu item [Position Trading] on Auth Role","","","TC_11.03.04_05_Auth  > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" on 'English' language",""
"passed","Thu Aug 31 09:36:49 EET 2023","Thu Aug 31 09:37:11 EET 2023","21783","firefox","","US_11-03-04_Education > Menu item [Position Trading] on Auth Role","","","TC_11.03.04_07_Auth  > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?"" on 'English' language",""
"failed","Thu Aug 31 09:48:58 EET 2023","Thu Aug 31 09:49:34 EET 2023","35837","Google Chrome","","US_11-03-04_Education > Menu item [Position Trading] on UnAuth Role","","","TC_11.03.04_05_UnAuth  > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" on 'English' language",""
"skipped","Thu Aug 31 09:33:58 EET 2023","Thu Aug 31 09:33:58 EET 2023","2","firefox","","US_11-03-04_Education > Menu item [Position Trading] on UnAuth Role","","","TC_11.03.04_03_UnAuth  > Test buttons [Trade] on Widget ""Most traded"" on 'English' language",""
"failed","Thu Aug 31 09:35:01 EET 2023","Thu Aug 31 09:35:04 EET 2023","3138","firefox","","US_11-03-04_Education > Menu item [Position Trading] on Auth Role","","","TC_11.03.04_03_Auth  > Test buttons [Trade] on Widget ""Most traded"" on 'English' language",""
"passed","Thu Aug 31 09:52:00 EET 2023","Thu Aug 31 09:52:48 EET 2023","47368","Google Chrome","","US_11-03-04_Education > Menu item [Position Trading] on Auth Role","","","TC_11.03.04_04_Auth  > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  on 'English' language",""
"broken","Thu Aug 31 09:32:53 EET 2023","Thu Aug 31 09:33:25 EET 2023","31935","firefox","","US_11-03-04_Education > Menu item [Position Trading]  on UnReg Role","","","TC_11.03.04_04_UnReg  > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  on 'English' language",""
"broken","Thu Aug 31 09:33:26 EET 2023","Thu Aug 31 09:33:58 EET 2023","31778","firefox","","US_11-03-04_Education > Menu item [Position Trading] on UnAuth Role","","","TC_11.03.04_01_UnAuth  > Test button [Start Trading] in Main banner on 'English' language",""
"passed","Thu Aug 31 09:45:01 EET 2023","Thu Aug 31 09:45:05 EET 2023","3815","Google Chrome","","US_11-03-04_Education > Menu item [Position Trading]  on UnReg Role","","","TC_11.03.04_02_UnReg  > Test button [Try Demo] in Main banner on 'English' language",""
"skipped","Thu Aug 31 09:40:47 EET 2023","Thu Aug 31 09:40:47 EET 2023","0","Microsoft Edge","","US_11-03-04_Education > Menu item [Position Trading] on UnAuth Role","","","TC_11.03.04_07_UnAuth  > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?"" on 'English' language",""
"passed","Thu Aug 31 09:38:19 EET 2023","Thu Aug 31 09:38:38 EET 2023","18830","Microsoft Edge","","US_11-03-04_Education > Menu item [Position Trading]  on UnReg Role","","","TC_11.03.04_02_UnReg  > Test button [Try Demo] in Main banner on 'English' language",""
"passed","Thu Aug 31 09:35:05 EET 2023","Thu Aug 31 09:35:57 EET 2023","51663","firefox","","US_11-03-04_Education > Menu item [Position Trading] on Auth Role","","","TC_11.03.04_04_Auth  > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  on 'English' language",""
"skipped","Thu Aug 31 09:33:58 EET 2023","Thu Aug 31 09:33:58 EET 2023","1","firefox","","US_11-03-04_Education > Menu item [Position Trading] on UnAuth Role","","","TC_11.03.04_07_UnAuth  > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?"" on 'English' language",""
"passed","Thu Aug 31 09:43:46 EET 2023","Thu Aug 31 09:44:26 EET 2023","39378","Microsoft Edge","","US_11-03-04_Education > Menu item [Position Trading] on Auth Role","","","TC_11.03.04_06_Auth  > Test button [Explore Web Platform] in the block ""Sign up and trade smart today"" on 'English' language",""
"passed","Thu Aug 31 09:53:33 EET 2023","Thu Aug 31 09:53:47 EET 2023","14159","Google Chrome","","US_11-03-04_Education > Menu item [Position Trading] on Auth Role","","","TC_11.03.04_07_Auth  > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?"" on 'English' language",""
"passed","Thu Aug 31 09:42:48 EET 2023","Thu Aug 31 09:43:40 EET 2023","52715","Microsoft Edge","","US_11-03-04_Education > Menu item [Position Trading] on Auth Role","","","TC_11.03.04_04_Auth  > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  on 'English' language",""
"broken","Thu Aug 31 09:42:12 EET 2023","Thu Aug 31 09:42:44 EET 2023","32707","Microsoft Edge","","US_11-03-04_Education > Menu item [Position Trading] on Auth Role","","","TC_11.03.04_03_Auth  > Test buttons [Trade] on Widget ""Most traded"" on 'English' language",""
"skipped","Thu Aug 31 09:40:47 EET 2023","Thu Aug 31 09:40:47 EET 2023","1","Microsoft Edge","","US_11-03-04_Education > Menu item [Position Trading] on UnAuth Role","","","TC_11.03.04_06_UnAuth  > Test button [Explore Web Platform] in the block ""Sign up and trade smart today"" on 'English' language",""
"skipped","Thu Aug 31 09:33:58 EET 2023","Thu Aug 31 09:33:58 EET 2023","1","firefox","","US_11-03-04_Education > Menu item [Position Trading] on UnAuth Role","","","TC_11.03.04_05_UnAuth  > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" on 'English' language",""
"passed","Thu Aug 31 09:52:52 EET 2023","Thu Aug 31 09:53:33 EET 2023","41117","Google Chrome","","US_11-03-04_Education > Menu item [Position Trading] on Auth Role","","","TC_11.03.04_06_Auth  > Test button [Explore Web Platform] in the block ""Sign up and trade smart today"" on 'English' language",""
"failed","Thu Aug 31 09:31:59 EET 2023","Thu Aug 31 09:32:04 EET 2023","5336","firefox","","US_11-03-04_Education > Menu item [Position Trading]  on UnReg Role","","","TC_11.03.04_02_UnReg  > Test button [Try Demo] in Main banner on 'English' language",""
